gml_id,text,sourceOfNa
PT.GN.112912,Pereiras - Gare,DGT
PT.GN.112913,São Miguel,DGT
PT.GN.112914,Martim Longo,DGT
PT.GN.112915,Alcoutim,DGT
PT.GN.112916,Brejão,DGT
PT.GN.112917,Santa Clara-a-Nova,DGT
PT.GN.112918,Sabóia,DGT
PT.GN.112919,Santana da Serra,DGT
PT.GN.112920,São Teotónio,DGT
PT.GN.112921,Santa Clara-a-Velha,DGT
PT.GN.112922,Almodôvar,DGT
PT.GN.112923,Gomes Aires,DGT
PT.GN.112924,Zambujeira do Mar,DGT
PT.GN.112925,São Bartolomeu de Via Glória,DGT
PT.GN.112926,Semblana,DGT
PT.GN.112927,Corte Zorrinho,DGT
PT.GN.112928,Aldeia dos Fernandes,DGT
PT.GN.112929,Boavista dos Pinheiros,DGT
PT.GN.112930,Luzianes-Gare,DGT
PT.GN.112931,Portas de Transval,DGT
PT.GN.112932,Odemira,DGT
PT.GN.112933,Bemposta,DGT
PT.GN.112934,Cavaleiro,DGT
PT.GN.112935,Aldeia de Palheiros,DGT
PT.GN.112936,Rosário,DGT
PT.GN.112937,Lombador,DGT
PT.GN.112938,Sete,DGT
PT.GN.112939,Mértola,DGT
PT.GN.112940,Moreanes,DGT
PT.GN.112941,São Martinho das Amoreiras,DGT
PT.GN.112942,Ourique,DGT
PT.GN.112943,Aldeia das Amoreiras,DGT
PT.GN.112944,Mina de São Domingos,DGT
PT.GN.112945,Castelão,DGT
PT.GN.112946,Vale Ferro,DGT
PT.GN.112947,Amoreiras-Gare,DGT
PT.GN.112948,Relíquias,DGT
PT.GN.112949,Castro Verde,DGT
PT.GN.112950,Corte do Pinto,DGT
PT.GN.112951,São Marcos da Ataboeira,DGT
PT.GN.112952,Corte Sines,DGT
PT.GN.112953,Garvão,DGT
PT.GN.112954,São Luís,DGT
PT.GN.112955,Santa Luzia,DGT
PT.GN.112956,Vila Nova de Milfontes,DGT
PT.GN.112957,Colos,DGT
PT.GN.112958,Foros do Galeado,DGT
PT.GN.112959,Lagoa Das Gansas,DGT
PT.GN.112960,Brunheiras,DGT
PT.GN.112961,Casével,DGT
PT.GN.112962,Panóias,DGT
PT.GN.112963,Entradas,DGT
PT.GN.112964,Campo Redondo,DGT
PT.GN.112965,Cercal do Alentejo,DGT
PT.GN.112966,Ribeira da Azenha,DGT
PT.GN.112967,Vales Mortos,DGT
PT.GN.112968,Bicos,DGT
PT.GN.112969,Messejana,DGT
PT.GN.112970,Fornalhas Velhas,DGT
PT.GN.112971,Porto Covo,DGT
PT.GN.112972,Albernoa,DGT
PT.GN.112973,Sonega,DGT
PT.GN.112974,Aljustrel,DGT
PT.GN.112975,Santa Iria,DGT
