count,date_in,date_max,naturalidade,normalizada,geocoder,id,address,city,country,importance,class,type,latitude,longitude,distance
1,1798-01-08,1798-01-08,"Tejuco, Minas Gerais","Tejuco, Minas Gerais",osm,6117432.0,"Tejuco, Januária, Região Geográfica Imediata de Januária, Região Geográfica Intermediária de Montes Claros, Minas Gerais, Região Sudeste, Brasil",Januária,Brasil,0.6100000000000001,boundary,administrative,-15.53110985,-44.61356844091266,7218.188442447936
1,1785-10-17,1785-10-17,"Tejuco, Serro do Frio, Brasil","Tejuco, Serro do Frio, Brasil",,,,,,,,,,,
1,1786-10-23,1786-10-23,"Tejuco, Serro do Frio, Diamantina, Brasil","Tejuco, Serro do Frio, Diamantina, Brasil",,,,,,,,,,,
1,1725-10-01,1725-10-01,Telha Boa,Telha Boa,,,,,,,,,,,
1,1798-10-02,1798-10-02,"Telhado, Coimbra","Telhado, Coimbra",osm,1583112520.0,"Telhado, Figueira de Lorvão, Penacova, Coimbra, Portugal",Penacova,Portugal,0.47,place,hamlet,40.3003924,-8.337698,12.767668395474754
1,1763-12-01,1763-12-01,"Telhado, Fundão","Telhado, Fundão",osm,5334505.0,"Telhado, Fundão, Castelo Branco, Portugal",Fundão,Portugal,0.4518117876502597,boundary,administrative,40.1621998,-7.5588751,74.01763399006454
1,1776-11-21,1776-11-21,"Telhado, Guarda","Telhado, Guarda",,,,,,,,,,,
1,1769-12-15,1769-12-15,"Telhado, Montalegre","Telhado, Montalegre",osm,1687046795.0,"Telhado, Viade de Baixo e Fervidelas, Montalegre, Vila Real, Portugal",Montalegre,Portugal,0.47,place,hamlet,41.7113626,-7.852018,173.86590131863628
1,1717-10-01,1717-10-01,Telhas,Telhas,osm,5735872.0,"Vale de Telhas, Mirandela, Bragança, Portugal",Mirandela,Portugal,0.4499999999999999,boundary,administrative,41.6163445,-7.2277096,186.20045449294432
1,1696-10-01,1696-10-01,Telheiras,Telheiras,,,,,,,,,,,
1,1791-10-31,1791-10-31,"Telheiras, Lisboa","Telheiras, Lisboa",,,,,,,,,,,
1,1838-10-12,1838-10-12,"Telões, Porto","Telões, Porto",osm,5830064.0,"Telões, Amarante, Porto, PT-13, Portugal",Amarante,Portugal,0.5150646030836139,boundary,administrative,41.3096543,-8.1007731,125.44481797206136
1,1767-10-01,1767-10-01,"Telões, Santo André","Telões, Santo André",,,,,,,,,,,
1,1818-10-31,1818-10-31,"Telões, Vila Real","Telões, Vila Real",osm,4195172.0,"Telões, Vila Pouca de Aguiar, Vila Real, Portugal",Vila Pouca de Aguiar,Portugal,0.6029751691113914,boundary,administrative,41.4547337,-7.6886252,151.8366275684488
1,1817-10-31,1817-10-31,Tendaes,Tendaes,,,,,,,,,,,
1,1602-12-02,1602-12-02,"Tendais, Castro Daire","Tendais, Castro Daire",,,,,,,,,,,
1,1900-10-03,1900-10-03,"Tendais, Cinfães","Tendais, Cinfães",osm,6354424.0,"Tendais, Cinfães, Viseu, Portugal",Cinfães,Portugal,0.4986886794586239,boundary,administrative,41.0142975,-8.0529355,95.00004095779028
1,1781-06-19,1781-06-19,"Tendais, Lamego","Tendais, Lamego",,,,,,,,,,,
1,1778-10-17,1778-10-17,"Tendães, Barcelos","Tendães, Barcelos",,,,,,,,,,,
1,1548-10-00,1548-10-00,"Tenerife, Canárias","Tenerife, Canárias",osm,2108882.0,"Tenerife, Canarias, España",,España,0.7011311049521617,place,island,28.2935785,-16.621447121144122,1520.2732891897317
1,1557-00-00,1557-00-00,"Tenerife, Canárias, Espanha","Tenerife, Canárias, Espanha",osm,2108882.0,"Tenerife, Canarias, España",,España,0.7011311049521617,place,island,28.2935785,-16.621447121144122,1520.2732891897317
1,1749-07-17,1749-07-17,Tentugal,Tentugal,osm,6553460.0,"Tentúgal, Coimbra, Portugal",Tentúgal,Portugal,0.35,boundary,administrative,40.2226986,-8.5833488,13.501076669216603
1,1787-10-03,1787-10-03,"Tentúgal, Quinta da Estrada","Tentúgal, Quinta da Estrada",,,,,,,,,,,
1,1882-10-02,1882-10-02,Teomil,Teomil,osm,5347016143.0,"Teomil, Lajeosa do Dão, Tondela, Viseu, Portugal",Tondela,Portugal,0.36,place,hamlet,40.5351253,-7.9784668,52.61954519232453
1,1893-10-23,1893-10-23,"Terena, Alandroal","Terena, Alandroal",osm,1868398695.0,"Terena, Terena (São Pedro), Alandroal, Évora, Portugal",Terena (São Pedro),Portugal,0.495,place,village,38.6188961,-7.4117693,196.8041976009105
1,1764-10-01,1764-10-01,"Terra da Feira, Mosteiró","Terra da Feira, Mosteiró",,,,,,,,,,,
1,1677-10-01,1677-10-01,"Terra da Feira, Oliveira de Azeméis","Terra da Feira, Oliveira de Azeméis",,,,,,,,,,,
1,1729-10-01,1729-10-01,Terra do Bouro,Terra do Bouro,,,,,,,,,,,
1,1744-10-01,1744-10-01,Terradosa,Terradosa,,,,,,,,,,,
1,1725-11-14,1725-11-14,Terrafeita,Terrafeita,osm,5160020435.0,"Terrafeita, Eira Vedra, Vieira do Minho, Braga, Portugal",Vieira do Minho,Portugal,0.36,place,hamlet,41.6460014,-8.156831,161.35828176006837
1,1733-10-01,1733-10-01,Terras da Feira,Terras da Feira,osm,345390009.0,"Unidade de Saúde Familiar Terras de Santa Maria, Santa Maria da Feira, Travanca, Sanfins e Espargo, Santa Maria da Feira, Aveiro, Portugal",Santa Maria da Feira,Portugal,0.5,place,plot,40.92631025,-8.548174443873027,80.49693330065716
1,1897-06-16,1897-06-16,"Terras, Pedrogão Grande","Terras, Pedrogão Grande",,,,,,,,,,,
1,1685-10-01,1685-10-01,Terrencho,Terrencho,,,,,,,,,,,
1,1750-10-01,1750-10-01,Terroso,Terroso,osm,3004522617.0,"Terroso, A Ver-o-Mar, Amorim e Terroso, Póvoa de Varzim, Porto, PT-13, Portugal","A Ver-o-Mar, Amorim e Terroso",Portugal,0.4075805605530676,place,village,41.415134,-8.7278019,136.51243807441247
1,1721-10-01,1721-10-01,Terrozelo,Terrozelo,,,,,,,,,,,
1,1690-10-01,1690-10-01,Tibais,Tibais,,,,,,,,,,,
1,1765-10-01,1765-10-01,"Tibalde, Azura da Beira","Tibalde, Azura da Beira",,,,,,,,,,,
1,1765-10-01,1765-10-01,Tibaldinho,Tibaldinho,osm,4823917171.0,"Tibaldinho, Mangualde, Viseu, Portugal",Mangualde,Portugal,0.385,place,village,40.5994306,-7.843621,65.87030620176883
1,1894-10-11,1894-10-11,"Tibaldinho, Mangualde","Tibaldinho, Mangualde",osm,4823917171.0,"Tibaldinho, Mangualde, Viseu, Portugal",Mangualde,Portugal,0.495,place,village,40.5994306,-7.843621,65.87030620176883
