bnp_id,name_bn,date_bn,qualification,bnp_id,fauc_id
1767221,Carlos Correia Botelho Silva Júnior,18--19--,,1767221,
1767224, Alfredo da Cunha  Pinto,18--19--,,1767224,
1767225,Rodrigo Júlio Marques de Andrade,18--19--,,1767225,
1767240,Augusto César Bianchi,18--19--,,1767240,
1767267, Francisco Ferreira da Cunha Júnior,18--19--,,1767267,
1767285,João Augusto Ferreira,18--19--,,1767285,
1767286,Manuel Morais e Costa,18--19--,,1767286,
1767287,Aníbal de Pádua Pereira de Andrade,18--19--,,1767287,
1767288,José da Silva Ferreira Mendes,18--19--,,1767288,
1767291, Amadeu Américo de Magalhães Cardoso,18--19--,,1767291,
1767292,Lúcio Augusto Ferreira,18--19--,,1767292,
1767309,José António Domingues Maia,18--19--,,1767309,
1767357,Luís de Sequeira Oliva,1837-1919,,1767357,
1767373,Ramiro Máximo Guerra,18--19--,,1767373,
1767375,"Alberto Nogueira Gonçalves, ",18--19--,,1767375,
1767379,António Ferreira da Silva Alegria,18--19--,,1767379,
1767395,Antonio Joaquim de Matos Ferreira,18--19--,,1767395,
1767408,Júlio César de  Vitória,18--19--,,1767408,
1767412,João Luís de Magalhães,18--19--,,1767412,
1767417,Pedro Almeida Albuquerque e Castro,18--19--,,1767417,
1767418,Manuel Francisco Alves,18--19--,,1767418,
1767419,Adolfo Augusto Pereira,18--19--,,1767419,
1767432,António Luis da Costa Metelo Junior,18--19--,,1767432,
1767440,Guilherme Braga Martins Cirne,18--19--,,1767440,
1767447,Lino José dos Santos,18--19--,,1767447,
1767462,Gregório Garrilho Garcia,18--19--,,1767462,
1767470,Gonçalo Guedes Pinto,18--19--,,1767470,
1767532,João Vaz Pereira de Araújo,18--19--,,1767532,
1767534,Luis da Cruz Ferreira,18--19--,,1767534,
1767545,António Teixeira Lopes Júnior,18--19--,,1767545,
1767596,Maria Genoveva de Jesus e Silva,18--19--,,1767596,
1767597,Carlos Alberto da Cunha Coelho,18--19--,,1767597,
